30B;29;28001;28200;5997;6940;4440;4440;7832;7832
30B;29;28201;28400;6049;7003;4503;4503;7895;7895
30B;29;28401;28600;6101;7066;4566;4566;7960;7960
30B;29;28601;28800;6153;7129;4629;4629;8023;8023
30B;29;28801;29000;6205;7194;4694;4694;8086;8086
30B;29;29001;29200;6257;7257;4757;4757;8151;8151
30B;29;29201;29400;6309;7320;4820;4820;8209;8209
30B;29;29401;29600;6361;7382;4882;4882;8267;8267
30B;29;29601;29800;6412;7445;4945;4945;8325;8325
30B;29;29801;30000;6465;7508;5008;5008;8383;8383
30B;29;30001;30200;6523;7573;5073;5073;8441;8441
30B;29;30201;30400;6581;7636;5136;5136;8499;8499
30B;29;30401;30600;6639;7699;5199;5199;8557;8557
30B;29;30601;30800;6697;7762;5262;5262;8615;8615
30B;29;30801;31000;6755;7825;5325;5325;8673;8673
30B;29;31001;31200;6813;7888;5388;5388;8731;8731
30B;29;31201;31400;6871;7950;5450;5450;8789;8789
30B;29;31401;31600;6929;8016;5516;5516;8847;8847
30B;29;31601;31800;6987;8078;5578;5578;8905;8905
30B;29;31801;32000;7045;8141;5641;5641;8963;8963
30B;29;32001;32200;7103;8204;5704;5704;9021;9021
30B;29;32201;32400;7161;8267;5767;5767;9079;9079
30B;29;32401;32600;7219;8330;5830;5830;9137;9137
30B;29;32601;32800;7277;8395;5895;5895;9195;9195
30B;29;32801;33000;7335;8458;5958;5958;9253;9253
30B;29;33001;33200;7393;8521;6021;6021;9311;9311
30B;29;33201;33400;7451;8584;6084;6084;9369;9369
30B;29;33401;33600;7509;8646;6146;6146;9427;9427
30B;29;33601;33800;7567;8709;6209;6209;9485;9485
30B;29;33801;34000;7625;8774;6274;6274;9543;9543
30B;29;34001;34200;7683;8837;6337;6337;9601;9601
30B;29;34201;34400;7741;8900;6400;6400;9659;9659
30B;29;34401;34600;7799;8963;6463;6463;9717;9717
30B;29;34601;34800;7857;9026;6526;6526;9775;9775
30B;29;34801;35000;7915;9089;6589;6589;9833;9833
30B;29;35001;35200;7973;9154;6654;6654;9891;9891
30B;29;35201;35400;8031;9217;6717;6717;9949;9949
30B;29;35401;35600;8089;9280;6780;6780;10007;10007
30B;29;35601;35800;8147;9342;6842;6842;10065;10065
30B;29;35801;36000;8205;9405;6905;6905;10123;10123
30B;29;36001;36200;8263;9468;6968;6968;10181;10181
30B;29;36201;36400;8321;9531;7031;7031;10239;10239
30B;29;36401;36600;8379;9596;7096;7096;10297;10297
30B;29;36601;36800;8437;9659;7159;7159;10355;10355
30B;29;36801;37000;8507;9722;7222;7222;10425;10425
30B;29;37001;37200;8605;9785;7285;7285;10523;10523
30B;29;37201;37400;8703;9847;7347;7347;10621;10621
30B;29;37401;37600;8801;9910;7410;7410;10719;10719
30B;29;37601;37800;8899;9976;7476;7476;10817;10817
30B;29;37801;38000;8997;10038;7538;7538;10915;10915
30B;29;38001;38200;9095;10101;7601;7601;11013;11013
30B;29;38201;38400;9193;10164;7664;7664;11111;11111
30B;29;38401;38600;9291;10227;7727;7727;11209;11209
30B;29;38601;38800;9389;10290;7790;7790;11307;11307
30B;29;38801;39000;9487;10355;7855;7855;11405;11405
30B;29;39001;39200;9585;10433;7933;7933;11503;11503
30B;29;39201;39400;9683;10539;8039;8039;11601;11601
30B;29;39401;39600;9781;10645;8145;8145;11699;11699
30B;29;39601;39800;9879;10751;8251;8251;11797;11797
30B;29;39801;40000;9977;10857;8357;8357;11895;11895
30B;29;40001;40200;10075;10968;8468;8468;11993;11993
30B;29;40201;40400;10173;11074;8574;8574;12091;12091
30B;29;40401;40600;10271;11180;8680;8680;12189;12189
30B;29;40601;40800;10369;11286;8786;8786;12287;12287
30B;29;40801;41000;10467;11392;8892;8892;12385;12385
30B;29;41001;41200;10565;11499;8999;8999;12483;12483
30B;29;41201;41400;10663;11605;9105;9105;12581;12581
30B;29;41401;41600;10761;11715;9215;9215;12679;12679
30B;29;41601;41800;10859;11821;9321;9321;12777;12777
30B;29;41801;42000;10957;11927;9427;9427;12875;12875
30B;29;42001;42200;11055;12033;9533;9533;12973;12973
30B;29;42201;42400;11153;12140;9640;9640;13071;13071
30B;29;42401;42600;11251;12246;9746;9746;13169;13169
30B;29;42601;42800;11349;12356;9856;9856;13267;13267
30B;29;42801;43000;11447;12462;9962;9962;13365;13365
30B;29;43001;43200;11545;12568;10068;10068;13463;13463
30B;29;43201;43400;11643;12675;10175;10175;13561;13561
30B;29;43401;43600;11741;12781;10281;10281;13659;13659
30B;29;43601;43800;11839;12887;10387;10387;13757;13757
30B;29;43801;44000;11937;12997;10497;10497;13855;13855
30B;29;44001;44200;12035;13103;10603;10603;13953;13953
30B;29;44201;44400;12133;13209;10709;10709;14051;14051
30B;29;44401;44600;12231;13316;10816;10816;14149;14149
30B;29;44601;44800;12329;13422;10922;10922;14247;14247
30B;29;44801;45000;12427;13528;11028;11028;14345;14345
30B;29;45001;45200;12525;13638;11138;11138;14443;14443
30B;29;45201;45400;12623;13744;11244;11244;14541;14541
30B;29;45401;45600;12721;13851;11351;11351;14639;14639
30B;29;45601;45800;12819;13957;11457;11457;14737;14737
30B;29;45801;46000;12917;14063;11563;11563;14835;14835
30B;29;46001;46200;13015;14165;11665;11665;14933;14933
30B;29;46201;46400;13113;14263;11763;11763;15031;15031
30B;29;46401;46600;13211;14361;11861;11861;15129;15129
30B;29;46601;46800;13309;14459;11959;11959;15227;15227
30B;29;46801;47000;13407;14557;12057;12057;15325;15325
30B;29;47001;47200;13505;14655;12155;12155;15423;15423
30B;29;47201;47400;13603;14753;12253;12253;15521;15521
30B;29;47401;47600;13701;14851;12351;12351;15619;15619
30B;29;47601;47800;13799;14949;12449;12449;15717;15717
30B;29;47801;48000;13897;15047;12547;12547;15815;15815
30B;29;48001;48200;13995;15145;12645;12645;15913;15913
30B;29;48201;48400;14093;15243;12743;12743;16011;16011
30B;29;48401;48600;14191;15341;12841;12841;16109;16109
30B;29;48601;48800;14289;15439;12939;12939;16207;16207
30B;29;48801;49000;14387;15537;13037;13037;16305;16305
30B;29;49001;49200;14485;15635;13135;13135;16403;16403
30B;29;49201;49400;14583;15733;13233;13233;16501;16501
30B;29;49401;49600;14681;15831;13331;13331;16599;16599
30B;29;49601;49800;14779;15929;13429;13429;16697;16697
30B;29;49801;50000;14877;16027;13527;13527;16795;16795
30B;29;50001;50200;14975;16125;13625;13625;16893;16893
30B;29;50201;50400;15073;16223;13723;13723;16991;16991
30B;29;50401;50600;15171;16321;13821;13821;17089;17089
30B;29;50601;50800;15269;16419;13919;13919;17187;17187
30B;29;50801;51000;15367;16517;14017;14017;17285;17285
30B;29;51001;51200;15465;16615;14115;14115;17383;17383
30B;29;51201;51400;15563;16713;14213;14213;17481;17481
30B;29;51401;51600;15661;16811;14311;14311;17579;17579
30B;29;51601;51800;15759;16909;14409;14409;17677;17677
30B;29;51801;52000;15857;17007;14507;14507;17775;17775
30B;29;52001;52200;15955;17105;14605;14605;17873;17873
30B;29;52201;52400;16053;17203;14703;14703;17971;17971
30B;29;52401;52600;16159;17301;14801;14801;18077;18077
30B;29;52601;52800;16267;17399;14899;14899;18185;18185
30B;29;52801;53000;16375;17497;14997;14997;18293;18293
30B;29;53001;53200;16483;17595;15095;15095;18401;18401
30B;29;53201;53400;16591;17693;15193;15193;18509;18509
30B;29;53401;53600;16699;17791;15291;15291;18617;18617
30B;29;53601;53800;16807;17889;15389;15389;18725;18725
30B;29;53801;54000;16915;17987;15487;15487;18833;18833
30B;29;54001;54200;17023;18095;15595;15595;18941;18941
30B;29;54201;54400;17131;18203;15703;15703;19049;19049
30B;29;54401;54600;17239;18311;15811;15811;19157;19157
30B;29;54601;54800;17347;18419;15919;15919;19265;19265
30B;29;54801;55000;17455;18527;16027;16027;19373;19373
30B;29;55001;55200;17563;18635;16135;16135;19481;19481
30B;29;55201;55400;17671;18743;16243;16243;19589;19589
30B;29;55401;55600;17779;18851;16351;16351;19697;19697
30B;29;55601;55800;17887;18959;16459;16459;19805;19805
30B;29;55801;56000;17995;19067;16567;16567;19913;19913
30B;29;56001;56200;18103;19175;16675;16675;20021;20021
30B;29;56201;56400;18211;19283;16783;16783;20129;20129
30B;29;56401;56600;18319;19391;16891;16891;20237;20237
30B;29;56601;56800;18427;19499;16999;16999;20345;20345
30B;29;56801;57000;18535;19607;17107;17107;20453;20453
30B;29;57001;57200;18643;19715;17215;17215;20561;20561
30B;29;57201;57400;18751;19823;17323;17323;20669;20669
30B;29;57401;57600;18859;19931;17431;17431;20777;20777
30B;29;57601;57800;18967;20039;17539;17539;20885;20885
30B;29;57801;58000;19075;20147;17647;17647;20993;20993
30B;29;58001;58200;19183;20255;17755;17755;21101;21101
30B;29;58201;58400;19291;20363;17863;17863;21209;21209
30B;29;58401;58600;19399;20471;17971;17971;21317;21317
30B;29;58601;58800;19507;20579;18079;18079;21425;21425
30B;29;58801;59000;19615;20687;18187;18187;21533;21533
30B;29;59001;59200;19723;20795;18295;18295;21641;21641
30B;29;59201;59400;19831;20903;18403;18403;21749;21749
30B;29;59401;59600;19939;21011;18511;18511;21857;21857
30B;29;59601;59800;20047;21119;18619;18619;21965;21965
30B;29;59801;60000;20155;21227;18727;18727;22073;22073
30B;29;60001;60200;20263;21335;18835;18835;22181;22181
30B;29;60201;60400;20371;21443;18943;18943;22289;22289
30B;29;60401;60600;20479;21551;19051;19051;22397;22397
30B;29;60601;60800;20587;21659;19159;19159;22505;22505
30B;29;60801;61000;20695;21767;19267;19267;22613;22613
30B;29;61001;61200;20803;21875;19375;19375;22721;22721
30B;29;61201;61400;20911;21983;19483;19483;22829;22829
30B;29;61401;61600;21019;22091;19591;19591;22937;22937
30B;29;61601;61800;21127;22199;19699;19699;23045;23045
30B;29;61801;62000;21235;22307;19807;19807;23153;23153
30B;29;62001;62200;21343;22415;19915;19915;23261;23261
30B;29;62201;62400;21451;22523;20023;20023;23369;23369
30B;29;62401;62600;21559;22631;20131;20131;23477;23477
30B;29;62601;62800;21667;22739;20239;20239;23585;23585
30B;29;62801;63000;21775;22847;20347;20347;23693;23693
30B;29;63001;63200;21883;22955;20455;20455;23801;23801
30B;29;63201;63400;21991;23063;20563;20563;23909;23909
30B;29;63401;63600;22099;23171;20671;20671;24017;24017
30B;29;63601;63800;22207;23279;20779;20779;24125;24125
30B;29;63801;64000;22315;23387;20887;20887;24233;24233
